date,codes,names,infected
2020-03-18,ZHA,Zhambyl oblysy,0
2020-03-18,ZAP,Batys Qazaqstan oblysy,0
2020-03-18,KAR,Qaraghandy oblysy,0
2020-03-18,KUS,Qostanay oblysy,0
2020-03-18,KZY,Qyzylorda oblysy,0
2020-03-18,MAN,Mangghystau oblysy,0
2020-03-18,PAV,Pavlodar oblysy,0
2020-03-18,SEV,Soltustik Qazaqstan oblysy,0
2020-03-18,YUS,Turkistan oblysy,0
2020-03-19,KAZ,Kazakhstan,44
2020-03-19,AST,Nur-Sultan,25
2020-03-19,ALA,Almaty,19
2020-03-19,SHY,Shymkent,0
2020-03-19,AKM,Aqmola oblysy,0
2020-03-19,AKT,Aqtobe oblysy,0
2020-03-19,ALM,Almaty oblysy,0
2020-03-19,ATY,Atyrau oblysy,0
2020-03-19,VOS,Shyghys Qazaqstan oblysy,0
2020-03-19,ZHA,Zhambyl oblysy,0
2020-03-19,ZAP,Batys Qazaqstan oblysy,0
2020-03-19,KAR,Qaraghandy oblysy,0
2020-03-19,KUS,Qostanay oblysy,0
2020-03-19,KZY,Qyzylorda oblysy,0
2020-03-19,MAN,Mangghystau oblysy,0
2020-03-19,PAV,Pavlodar oblysy,0
2020-03-19,SEV,Soltustik Qazaqstan oblysy,0
2020-03-19,YUS,Turkistan oblysy,0
2020-03-20,KAZ,Kazakhstan,52
2020-03-20,AST,Nur-Sultan,28
2020-03-20,ALA,Almaty,22
2020-03-20,SHY,Shymkent,0
2020-03-20,AKM,Aqmola oblysy,0
2020-03-20,AKT,Aqtobe oblysy,0
2020-03-20,ALM,Almaty oblysy,0
2020-03-20,ATY,Atyrau oblysy,0
2020-03-20,VOS,Shyghys Qazaqstan oblysy,0
2020-03-20,ZHA,Zhambyl oblysy,0
2020-03-20,ZAP,Batys Qazaqstan oblysy,0
2020-03-20,KAR,Qaraghandy oblysy,2
2020-03-20,KUS,Qostanay oblysy,0
2020-03-20,KZY,Qyzylorda oblysy,0
2020-03-20,MAN,Mangghystau oblysy,0
2020-03-20,PAV,Pavlodar oblysy,0
2020-03-20,SEV,Soltustik Qazaqstan oblysy,0
2020-03-20,YUS,Turkistan oblysy,0
2020-03-21,KAZ,Kazakhstan,54
2020-03-21,AST,Nur-Sultan,29
2020-03-21,ALA,Almaty,22
2020-03-21,SHY,Shymkent,0
2020-03-21,AKM,Aqmola oblysy,0
2020-03-21,AKT,Aqtobe oblysy,0
2020-03-21,ALM,Almaty oblysy,1
2020-03-21,ATY,Atyrau oblysy,0
2020-03-21,VOS,Shyghys Qazaqstan oblysy,0
2020-03-21,ZHA,Zhambyl oblysy,0
2020-03-21,ZAP,Batys Qazaqstan oblysy,0
2020-03-21,KAR,Qaraghandy oblysy,2
2020-03-21,KUS,Qostanay oblysy,0
2020-03-21,KZY,Qyzylorda oblysy,0
2020-03-21,MAN,Mangghystau oblysy,0
2020-03-21,PAV,Pavlodar oblysy,0
2020-03-21,SEV,Soltustik Qazaqstan oblysy,0
2020-03-21,YUS,Turkistan oblysy,0
2020-03-22,KAZ,Kazakhstan,60
2020-03-22,AST,Nur-Sultan,31
2020-03-22,ALA,Almaty,25
2020-03-22,SHY,Shymkent,0
2020-03-22,AKM,Aqmola oblysy,0
2020-03-22,AKT,Aqtobe oblysy,1
2020-03-22,ALM,Almaty oblysy,1
2020-03-22,ATY,Atyrau oblysy,0
2020-03-22,VOS,Shyghys Qazaqstan oblysy,0
2020-03-22,ZHA,Zhambyl oblysy,0
2020-03-22,ZAP,Batys Qazaqstan oblysy,0
2020-03-22,KAR,Qaraghandy oblysy,2
2020-03-22,KUS,Qostanay oblysy,0
2020-03-22,KZY,Qyzylorda oblysy,0
2020-03-22,MAN,Mangghystau oblysy,0
2020-03-22,PAV,Pavlodar oblysy,0
2020-03-22,SEV,Soltustik Qazaqstan oblysy,0
2020-03-22,YUS,Turkistan oblysy,0
2020-03-23,KAZ,Kazakhstan,62
2020-03-23,AST,Nur-Sultan,32
2020-03-23,ALA,Almaty,26
2020-03-23,SHY,Shymkent,0
2020-03-23,AKM,Aqmola oblysy,0
2020-03-23,AKT,Aqtobe oblysy,1
2020-03-23,ALM,Almaty oblysy,1
2020-03-23,ATY,Atyrau oblysy,0
2020-03-23,VOS,Shyghys Qazaqstan oblysy,0
2020-03-23,ZHA,Zhambyl oblysy,0
2020-03-23,ZAP,Batys Qazaqstan oblysy,0
2020-03-23,KAR,Qaraghandy oblysy,2
2020-03-23,KUS,Qostanay oblysy,0
2020-03-23,KZY,Qyzylorda oblysy,0
2020-03-23,MAN,Mangghystau oblysy,0
2020-03-23,PAV,Pavlodar oblysy,0
2020-03-23,SEV,Soltustik Qazaqstan oblysy,0
2020-03-23,YUS,Turkistan oblysy,0
2020-03-24,KAZ,Kazakhstan,72
2020-03-24,AST,Nur-Sultan,36
2020-03-24,ALA,Almaty,29
2020-03-24,SHY,Shymkent,1
2020-03-24,AKM,Aqmola oblysy,0
2020-03-24,AKT,Aqtobe oblysy,1
2020-03-24,ALM,Almaty oblysy,1
2020-03-24,ATY,Atyrau oblysy,0
2020-03-24,VOS,Shyghys Qazaqstan oblysy,0
2020-03-24,ZHA,Zhambyl oblysy,1
2020-03-24,ZAP,Batys Qazaqstan oblysy,0
2020-03-24,KAR,Qaraghandy oblysy,2
2020-03-24,KUS,Qostanay oblysy,0
2020-03-24,KZY,Qyzylorda oblysy,0
2020-03-24,MAN,Mangghystau oblysy,0
2020-03-24,PAV,Pavlodar oblysy,0
2020-03-24,SEV,Soltustik Qazaqstan oblysy,1
2020-03-24,YUS,Turkistan oblysy,0
2020-03-25,KAZ,Kazakhstan,80
2020-03-25,AST,Nur-Sultan,41
2020-03-25,ALA,Almaty,31
2020-03-25,SHY,Shymkent,2
2020-03-25,AKM,Aqmola oblysy,0
2020-03-25,AKT,Aqtobe oblysy,1
2020-03-25,ALM,Almaty oblysy,1
2020-03-25,ATY,Atyrau oblysy,0
2020-03-25,VOS,Shyghys Qazaqstan oblysy,0
2020-03-25,ZHA,Zhambyl oblysy,1
2020-03-25,ZAP,Batys Qazaqstan oblysy,0
2020-03-25,KAR,Qaraghandy oblysy,2
2020-03-25,KUS,Qostanay oblysy,0
2020-03-25,KZY,Qyzylorda oblysy,0
2020-03-25,MAN,Mangghystau oblysy,0
2020-03-25,PAV,Pavlodar oblysy,0
2020-03-25,SEV,Soltustik Qazaqstan oblysy,1
2020-03-25,YUS,Turkistan oblysy,0
2020-03-26,KAZ,Kazakhstan,112
2020-03-26,AST,Nur-Sultan,61
2020-03-26,ALA,Almaty,40
2020-03-26,SHY,Shymkent,2
2020-03-26,AKM,Aqmola oblysy,0
2020-03-26,AKT,Aqtobe oblysy,1
2020-03-26,ALM,Almaty oblysy,1
2020-03-26,ATY,Atyrau oblysy,0
2020-03-26,VOS,Shyghys Qazaqstan oblysy,0
2020-03-26,ZHA,Zhambyl oblysy,2
2020-03-26,ZAP,Batys Qazaqstan oblysy,0
2020-03-26,KAR,Qaraghandy oblysy,4
2020-03-26,KUS,Qostanay oblysy,0
2020-03-26,KZY,Qyzylorda oblysy,0
2020-03-26,MAN,Mangghystau oblysy,0
2020-03-26,PAV,Pavlodar oblysy,0
2020-03-26,SEV,Soltustik Qazaqstan oblysy,1
2020-03-26,YUS,Turkistan oblysy,0
2020-03-27,KAZ,Kazakhstan,150
2020-03-27,AST,Nur-Sultan,75
2020-03-27,ALA,Almaty,55
2020-03-27,SHY,Shymkent,2
2020-03-27,AKM,Aqmola oblysy,3
2020-03-27,AKT,Aqtobe oblysy,1
2020-03-27,ALM,Almaty oblysy,1
